Quantity,Name,Finish,Condition,Language,Edition Name,Edition Code,Scryfall ID,Collector Number
1,Mountain Valley,Normal,NM,EN,Mirage,mir,ded4e5c2-4f03-47c1-9843-b98c239ccfea,328
1,Mtenda Griffin,Normal,NM,EN,Mirage,mir,162dd988-0beb-48e4-9eaa-a08ddb835648,28
1,Mystical Tutor,Normal,NM,EN,Mirage,mir,5d98101f-e32a-4a4a-a649-faa920d111ee,80
1,Nature's Kiss,Normal,NM,EN,Weatherlight,wth,64b09c44-d463-45a9-9fa2-89407c21200b,136
1,Necromancy,Normal,NM,EN,Visions,vis,311a6257-dd77-4bb6-81cb-c8e7862350f3,64
1,Noble Benefactor,Normal,NM,EN,Weatherlight,wth,bd221f30-1773-4e05-a40f-022a9306ef89,44
1,Noble Elephant,Normal,NM,EN,Mirage,mir,65f399cb-dddb-422a-8d36-938b82b59e10,30
1,Painful Memories,Normal,NM,EN,Mirage,mir,79223c17-ecb1-47f1-8e24-eea464cc9b1e,133
1,Phyrexian Walker,Normal,NM,EN,Visions,vis,9f8a3979-2947-4692-8b2f-d4c07c534777,152
1,Plains,Normal,NM,EN,Mirage,mir,888f32ad-3bdd-4c46-b3f0-522ac9763591,331
1,Power Sink,Normal,NM,EN,Mirage,mir,49717583-e0bb-47d6-92d0-8959af13391f,83
1,Pyric Salamander,Normal,NM,EN,Mirage,mir,7f2dc1a7-4b70-4643-90a8-fdc7877c01ca,187
1,Quicksand,Normal,NM,EN,Visions,vis,11370658-8d80-4d2f-afa5-ec6df6dee369,166
1,Quirion Elves,Normal,NM,EN,Mirage,mir,be9a64fb-1e8d-4ed8-b4c5-3d44db9c1d3b,234
1,Quirion Ranger,Normal,NM,EN,Visions,vis,56efe72c-6d7f-44f6-ac74-01af9305c4b6,117
1,Radiant Essence,Normal,NM,EN,Mirage,mir,d9b1853c-d5b9-4361-8a2f-36946a62847b,276
1,Raging Gorilla,Normal,NM,EN,Visions,vis,07c284ce-33b8-4fb2-9dd9-4c477bedc774,90
1,Rampant Growth,Normal,NM,EN,Mirage,mir,a9dd8043-4099-42bb-9d54-4efc8b38fe18,235
1,Ray of Command,Normal,NM,EN,Mirage,mir,4361c600-7a97-46bf-8cc1-f3713d3c28ab,86
1,Razortooth Rats,Normal,NM,EN,Weatherlight,wth,ae869780-27e8-4a6d-9ac6-cdab617725e2,78
1,Redwood Treefolk,Normal,NM,EN,Weatherlight,wth,0274e162-33e4-4604-a6ea-51fc1a5c6a04,138
1,Resistance Fighter,Normal,NM,EN,Visions,vis,21250bdb-9431-41b3-9fef-d66a4d3f6ecd,18
1,Righteous War,Normal,NM,EN,Visions,vis,bbcacb8e-1aff-4807-b70c-a17d6703d279,134
1,Rock Slide,Normal,NM,EN,Visions,vis,7e01717a-d6ed-42c1-9a9a-f3f4a3d73bca,92
1,Rocky Tar Pit,Normal,NM,EN,Mirage,mir,1e21c347-7aaf-42ae-abf3-f1283c5b54e6,329
1,Rogue Elephant,Normal,NM,EN,Weatherlight,wth,1b622b2f-84ad-4203-97fa-35af09e1c370,139
1,Roots of Life,Normal,NM,EN,Mirage,mir,26724a51-87dd-4159-b012-71598e4cf5eb,237
1,Sabertooth Cobra,Normal,NM,EN,Mirage,mir,48ead72b-f3f5-4065-a33c-0992cf1fdb34,238
